Country,Year,Count,Count_median,Count_min,Count_max,WHO Region,,Total
Nicaragua,2000,100[100–500],100,100,500,Americas,,800
Niger,2000,2300[1700–3000],2300,1700,3000,Africa,,5200
Nigeria,2000,78000[45000–130000],78000,45000,130000,Africa,,203000
Norway,2000,100[100–100],100,100,100,Europe,,300
Oman,2000,100[100–100],100,100,100,Eastern Mediterranean,,300
Pakistan,2000,100[100–100],100,100,100,Eastern Mediterranean,,7900
Panama,2000,500[500–500],500,500,500,Americas,,1500
Papua New Guinea,2000,na,,,,Western Pacific,,0
Paraguay,2000,500[200–920],500,200,920,Americas,,2010
Peru,2000,5100[3800–7000],5100,3800,7000,Americas,,8200
Philippines,2000,100[100–100],100,100,100,Western Pacific,,1800
Poland,2000,na,,,,Europe,,0
Portugal,2000,1100[890–1400],1100,890,1400,Europe,,2530
Qatar,2000,na,,,,Eastern Mediterranean,,0
Republic of Korea,2000,na,,,,Western Pacific,,0
Republic of Moldova,2000,500[500–500],500,500,500,Europe,,1810
Republic of North Macedonia,2000,100[100–100],100,100,100,Europe,,300
Romania,2000,500[500–500],500,500,500,Europe,,900
Russian Federation,2000,na,,,,Europe,,0
Rwanda,2000,18000[14000–22000],18000,14000,22000,Africa,,26600
Saudi Arabia,2000,na,,,,Eastern Mediterranean,,0
Senegal,2000,1700[1300–2300],1700,1300,2300,Africa,,4300
Serbia,2000,200[100–200],200,100,200,Europe,,400
Sierra Leone,2000,2400[1600–3300],2400,1600,3300,Africa,,7400
Singapore,2000,na,,,,Western Pacific,,200
Slovakia,2000,100[100–100],100,100,100,Europe,,300
Slovenia,2000,100[100–100],100,100,100,Europe,,300
Somalia,2000,810[560–1100],810,560,1100,Eastern Mediterranean,,2920
South Africa,2000,100000[68000–140000],100000,68000,140000,Africa,,311000
South Sudan,2000,5100[2600–7500],5100,2600,7500,Africa,,24800
Spain,2000,1800[1500–2300],1800,1500,2300,Europe,,3100
Sri Lanka,2000,100[100–100],100,100,100,South-East Asia,,800
Sudan,2000,650[500–1700],650,500,1700,Eastern Mediterranean,,5450
Suriname,2000,200[100–500],200,100,500,Americas,,500
Sweden,2000,na,,,,Europe,,0
Switzerland,2000,na,,,,Europe,,0
Syrian Arab Republic,2000,100[100–100],100,100,100,Eastern Mediterranean,,300
Tajikistan,2000,100[100–100],100,100,100,Europe,,1100
Thailand,2000,54000[45000–62000],54000,45000,62000,South-East Asia,,99000
Timor-Leste,2000,na,,,,South-East Asia,,0
Togo,2000,5600[5000–6300],5600,5000,6300,Africa,,15100
Trinidad and Tobago,2000,na,,,,Americas,,0
Tunisia,2000,100[100–100],100,100,100,Eastern Mediterranean,,300
Turkey,2000,na,,,,Europe,,0
Turkmenistan,2000,na,,,,Europe,,0
Uganda,2000,85000[75000–99000],85000,75000,99000,Africa,,164000
Ukraine,2000,4500[3100–6200],4500,3100,6200,Europe,,22600
United Arab Emirates,2000,na,,,,Eastern Mediterranean,,0
United Kingdom of Great Britain and Northern Ireland,2000,na,,,,Europe,,0
United Republic of Tanzania,2000,80000[69000–90000],80000,69000,90000,Africa,,152000
United States of America,2000,na,,,,Americas,,0
Uruguay,2000,500[100–500],500,100,500,Americas,,1200
Uzbekistan,2000,840[740–920],840,740,920,Europe,,3940
Venezuela (Bolivarian Republic of),2000,na,,,,Americas,,0
Viet Nam,2000,6100[4300–7800],6100,4300,7800,Western Pacific,,19300
Yemen,2000,100[100–200],100,100,200,Eastern Mediterranean,,800
Zambia,2000,62000[49000–81000],62000,49000,81000,Africa,,105000
Zimbabwe,2000,120000[98000–150000],120000,98000,150000,Africa,,196000
